,state,location,checkin,food,building,room,cleanliness,value,service,business,other,total,true_rate
0,AZ,4.4,4.6,4.2,3.7,4.6,3.6,4.5,4.5,4.6,4.3,4.4,4.1
1,CA,4.5,4.4,4.3,3.8,4.2,3.9,4.3,4.6,4.5,4.5,4.3,4.0
2,CO,4.4,4.8,4.7,3.7,4.5,4.8,4.4,4.4,5.0,4.6,4.5,4.0
3,FL,4.6,4.4,4.2,4.1,4.2,3.8,4.4,4.6,4.2,4.3,4.3,4.0
4,GA,4.4,4.4,4.5,3.7,4.2,4.0,4.3,4.5,4.3,4.4,4.3,3.9
5,HI,4.7,4.8,4.2,4.0,4.5,4.6,5.0,4.8,4.6,4.7,4.6,4.3
6,IL,4.7,4.6,4.4,4.2,4.3,4.3,4.3,4.6,4.6,4.5,4.5,4.3
7,NY,4.5,4.4,4.3,3.5,4.3,4.0,4.4,4.6,4.8,4.6,4.4,4.3
8,OR,4.8,4.4,4.3,4.3,4.6,4.9,4.6,4.9,5.0,4.6,4.6,4.3
9,PA,4.7,4.6,4.6,4.2,4.4,4.2,4.5,4.8,4.5,4.6,4.5,4.2
10,TN,4.6,4.4,4.1,3.2,4.2,3.2,5.0,4.5,4.7,3.9,4.2,3.9
11,TX,4.6,4.4,4.7,3.8,4.2,3.8,4.5,4.6,4.7,4.4,4.4,4.1
12,VA,4.3,4.7,4.4,4.4,4.6,3.9,4.5,4.8,4.6,4.5,4.6,4.4
13,WA,4.6,4.6,4.4,3.7,4.3,3.9,4.2,4.6,4.5,4.5,4.4,4.2
14,LA,4.7,4.6,4.5,4.0,4.3,3.8,4.5,4.7,4.5,4.4,4.4,4.3
